LTC Home,City,Beds,Resident Deaths,Home Type,Ownership Details,% Residents Over 85 (2018-2019),
Villa Leonardo Gambin,Woodbridge,168,12,For-profit (financialized),Sienna Senior Living (REIT),68.6,
Villa Marconi,Ottawa,128,0,Non-profit,"Managed by Diversicare Canada Management Services Co., Inc.",63.7,
Vision Nursing Home,Sarnia,146,10,Non-profit,,52.9,
Wellesley Central Place,Toronto,150,10,Non-profit,,39.7,
Wellington Terrace Long-Term Care Home,Fergus,176,0,Municipal,,61.5,
Wentworth Lodge,Dundas,160,0,Municipal,,57.3,
West Oak Village,Oakville,133,0,For-profit,Axr Operating (National) Lp,52.7,
West Park Health Centre,St. Catharines,101,<5,For-profit,Managed by Extendicare,28.9,
West Park Long Term Care Centre,Toronto,200,30,Non-profit,Managed by Extendicare,50.4,
Westmount Gardens Long Term Care Home,London,160,0,For-profit,Steeves & Rozema Enterprises Limited,62.6,
Westside,Etobicoke,242,<5,For-profit (financialized),Revera (wholly owned subsidiary of the Public Sector Pension Investment Board),44.2,
Wikwemikong Nursing Home,Wikwemikong,59,0,Non-profit,,22,
Winbourne Park,Ajax,110,0,For-profit,Axr Operating (National) Lp,46.4,
Woodhall Park Care Community,Brampton,147,0,For-profit (financialized),Sienna Senior Living (REIT),55.1,
Woodland Villa,Long Sault,111,0,For-profit,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,56.4,
Woods Park Care Centre,Barrie,123,0,For-profit (financialized),Sienna Senior Living (REIT),54.5,
Wyndham Manor Long Term Care Centre,Oakville,128,0,Non-profit,Managed by Extendicare,51.6,
Yee Hong Centre - Markham,Markham,200,0,Non-profit,,66.7,
Yee Hong Centre - Mississauga,Mississauga,200,0,Non-profit,,71.4,
Yee Hong Centre - Scarborough Finch,Scarborough,250,0,Non-profit,,71,
Yee Hong Centre - Scarborough McNicoll,Scarborough,155,0,Non-profit,,71.2,
